school_name,sub_county,county,Location,geocoding_query,formatted_address,location_type,Unnamed: 7,status,distance_to_center_km,latitude,longitude,cluster_id,distance_to_cluster_center_km
Bishop Eliud Wabukala Secondary School,Bungoma West Subcounty,Bungoma County,"0.5949997, 34.5500697","Bishop Eliud Wabukala Secondary School, Bungoma West Subcounty, Bungoma County, Kenya","Kanduyi, Bungoma, Kenya",GEOMETRIC_CENTER,,SUCCESS,151.475206687543,0.5949997,34.5500697,0,4.174450676707657
Musikoma Secondary Schools,Bungoma South Subcounty,Bungoma County,"0.5340557, 34.5498966","Musikoma Secondary Schools, Bungoma South Subcounty, Bungoma County, Kenya","Musikoma Secondary School, Bungoma, Kenya",GEOMETRIC_CENTER,,SUCCESS,149.258732490224,0.5340557,34.5498966,0,3.4300387658765232
Lomut Mixed Secondary School,Pokot Central,West Pokot County,"1.4009634, 35.5739932","Lomut Mixed Secondary School, Pokot Central, West Pokot County, Kenya","Lomut, Kenya",APPROXIMATE,,SUCCESS,145.335970274061,1.4009634,35.5739932,22,18.636735930336155
Sobukwo Mixed Secondary School,Kipkomo,West Pokot County,"1.4547684, 35.3356518","Sobukwo Mixed Secondary School, Kipkomo, West Pokot County, Kenya","Sobukwo, Kenya",APPROXIMATE,,SUCCESS,158.283137490123,1.4547684,35.3356518,22,11.635536073388323
Kapsangar Mixed  Secondary School,Pokot South,West Pokot County,"1.2003222, 35.4014708","Kapsangar Mixed  Secondary School, Pokot South, West Pokot County, Kenya","Kapsangar, Kenya",APPROXIMATE,,SUCCESS,129.234094052088,1.2003222,35.4014708,19,21.996381229841916
Talau Mixed  Secondary School,West Pokot,West Pokot County,"1.2045582, 35.1158754","Talau Mixed  Secondary School, West Pokot, West Pokot County, Kenya","Talau, Kenya",APPROXIMATE,,SUCCESS,144.302061636588,1.2045582,35.1158754,19,11.199210841847579
Alale Mixed Secondary School,Kacheliba/North Pokot,West Pokot County,"1.5327973, 34.994751","Alale Mixed Secondary School, Kacheliba/North Pokot, West Pokot County, Kenya","GXMV+4W6, Kuchelebai, Kenya",GEOMETRIC_CENTER,,SUCCESS,182.424542583556,1.5327973,34.994751,11,0.0
RCEA Marichpass Mixed Secondary School,Pokot Central,West Pokot County,"1.6210076, 35.3905046","RCEA Marichpass Mixed Secondary School, Pokot Central, West Pokot County, Kenya","West Pokot County, Kenya",APPROXIMATE,,SUCCESS,173.954467406847,1.6210076,35.3905046,22,15.090034964443651
Chepareria Mixed Secondary School,Kipkomo,West Pokot County,"1.3074617, 35.2081266","Chepareria Mixed Secondary School, Kipkomo, West Pokot County, Kenya","P.O Box 228, Kapenguria - Lodwar Rd, Chepareria, Kenya",GEOMETRIC_CENTER,,SUCCESS,149.004570463145,1.3074617,35.2081266,19,7.043402760087523
Chepkono Mixed Secondary School,Pokot South,West Pokot County,"1.2147045, 35.2313307","Chepkono Mixed Secondary School, Pokot South, West Pokot County, Kenya","Chepkono, Kenya",APPROXIMATE,,SUCCESS,138.685556864175,1.2147045,35.2313307,19,4.1388555801791025
Mnagei Mixed Secondary School,West Pokot,West Pokot County,"1.255279, 35.0904494","Mnagei Mixed Secondary School, West Pokot, West Pokot County, Kenya","734R+458, Makutano, Kenya",GEOMETRIC_CENTER,,SUCCESS,150.570881152822,1.255279,35.0904494,19,13.184041005681003
Ortum Mixed  Secondary School,Kipkomo,West Pokot County,"1.2823948, 35.2038559","Ortum Mixed  Secondary School, Kipkomo, West Pokot County, Kenya","Kipkomo, Kenya",APPROXIMATE,,SUCCESS,146.760555452273,1.2823948,35.2038559,19,4.28739875850964
Mwangaza mixed day sec school,Samburu central subcounty,Samburu County,"1.2154506, 36.954107","Mwangaza mixed day sec school, Samburu central subcounty, Samburu County, Kenya","Samburu County, Kenya",APPROXIMATE,,SUCCESS,174.935059484506,1.2154506,36.954107,5,17.74940849182748
Maralal mixed day sec school,Samburu central subcounty,Samburu County,"1.0438811, 36.6531301","Maralal mixed day sec school, Samburu central subcounty, Samburu County, Kenya","Maralal- Loosuk, Kenya",GEOMETRIC_CENTER,,SUCCESS,137.984810001704,1.0438811,36.6531301,5,22.416043349768437
Loikas mixed day sec school,Samburu central subcounty,Samburu County,"1.0438811, 36.6531301","Loikas mixed day sec school, Samburu central subcounty, Samburu County, Kenya","Maralal- Loosuk, Kenya",GEOMETRIC_CENTER,,SUCCESS,137.984810001704,1.0438811,36.6531301,5,22.416043349768437
Baragoi mixed day sec school,Samburu West sub county,Samburu County,"1.7851169, 36.7873365","Baragoi mixed day sec school, Samburu West sub county, Samburu County, Kenya","Baragoi, Kenya",APPROXIMATE,,SUCCESS,213.913401027193,1.7851169,36.7873365,7,26.779097395514352
Wamba mixed day sec school,Samburu East sub county,Samburu County,"1.0071656, 37.3143649","Wamba mixed day sec school, Samburu East sub county, Samburu County, Kenya","2847+VP9, Wamba, Kenya",GEOMETRIC_CENTER,,SUCCESS,192.717920562151,1.0071656,37.3143649,4,0.0
Ngari mixed day sec school,Samburu central subcounty,Samburu County,"1.2154506, 36.954107","Ngari mixed day sec school, Samburu central subcounty, Samburu County, Kenya","Samburu County, Kenya",APPROXIMATE,,SUCCESS,174.935059484506,1.2154506,36.954107,5,17.74940849182748
Nachola mixed day sec school,Samburu West sub county,Samburu County,"1.0438811, 36.6531301","Nachola mixed day sec school, Samburu West sub county, Samburu County, Kenya","Maralal- Loosuk, Kenya",GEOMETRIC_CENTER,,SUCCESS,137.984810001704,1.0438811,36.6531301,5,22.416043349768437
Nalingangor mixed day sec school,Samburu West sub county,Samburu County,"1.7932543, 36.7765641","Nalingangor mixed day sec school, Samburu West sub county, Samburu County, Kenya","Nalingangor, Kenya",APPROXIMATE,,SUCCESS,214.104201256763,1.7932543,36.7765641,7,25.377932139674563
